dimension: 6
max non-zeros: 16
min non-zeros: 1
avg non-zeros: 2
we have 153 chains
136 are fixed
17 are free
45 have radius zero
   40 of these are fixed
   5 of these are free
108 have radius non-zero
   96 of these are fixed
   12 of these are free

sqr=5.927e+05  alp=0.1  con= 0 / 0  153 17 102     
sqr=5.828e+05  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.378e+05  alp=0.064  con= 0 / 0  153 17 102     
sqr=4.788e+05  alp=0.0512  con= 0 / 0  153 17 102     
sqr=4.204e+05  alp=0.04096  con= 0 / 0  153 17 102     
sqr=3.695e+05  alp=0.03277  con= 0 / 0  153 17 102     
sqr=3.275e+05  alp=0.02621  con= 0 / 0  153 17 102     
sqr=2.939e+05  alp=0.02097  con= 0 / 0  153 17 102     
sqr=2.677e+05  alp=0.01678  con= 0 / 0  153 17 102     
sqr=2.473e+05  alp=0.01342  con= 0 / 0  153 17 102     
sqr=2.328e+05  alp=0.01074  con= 0 / 0  153 17 102     
sqr=2.208e+05  alp=0.00859  con= 0 / 0  153 17 102     
sqr=2.108e+05  alp=0.006872  con= 0 / 0  153 17 102     
sqr=2.031e+05  alp=0.005498  con= 0 / 0  153 17 102     
sqr=1.966e+05  alp=0.004398  con= 0 / 0  153 17 102     
sqr=4.508e+04  alp=8.507e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.806e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.445e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.356e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.484e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.788e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.23e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.784e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.427e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.142e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.134e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.308e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.846e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.677e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.741e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.993e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.395e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.916e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.532e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.226e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.808e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.846e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.277e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.022e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.017e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.214e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.571e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.057e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.646e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.316e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.053e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=8.425e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.74e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.392e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.314e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.451e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.761e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.209e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.767e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.413e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.131e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.046e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.237e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.79e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.632e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.705e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.964e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.371e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.897e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.518e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.214e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.713e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.771e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.217e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.973e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.142e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.134e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.308e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.846e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.677e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.741e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.993e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.395e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.916e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.532e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.226e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.808e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.846e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.277e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.022e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.017e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.214e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.571e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.057e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.646e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.316e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.053e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=8.425e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.74e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.392e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.314e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.451e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.761e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.209e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.767e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.413e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.131e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.046e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.237e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.79e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.632e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.705e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.964e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.371e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.897e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.518e-10  con= 0 / 1  153 17 102     
s=4.508e+04 a=8.873e-16 c= 0 / 2 153 17 102 5.175e+04 4.71
sqr=1.677e+05  alp=0.1  con= 0 / 2  153 17 102     
sqr=6.516e+04  alp=0.08  con= 0 / 2  153 17 102     
sqr=1.381e+04  alp=0.02097  con= 0 / 2  153 17 102     
sqr=1.375e+04  alp=0.01074  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=0.002815  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=0.001153  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=0.0003778  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=0.0001547  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.071e-05  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.662e-05  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.445e-06  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.784e-06  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.846e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=7.308e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.846e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.677e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=3.741e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.993e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.395e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.916e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.532e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.226e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=9.808e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=7.846e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=6.277e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.022e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.017e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=3.214e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.571e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.057e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.646e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.316e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.053e-08  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=8.425e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=6.74e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.392e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.314e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=3.451e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.761e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.209e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.767e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.413e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.131e-09  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=9.046e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=7.237e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=5.79e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.632e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=3.705e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.964e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.371e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.897e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.518e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=1.214e-10  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=9.713e-11  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=7.771e-11  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=6.217e-11  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.973e-11  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=4.056e-05  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.077e-05  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=6.806e-06  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.23e-06  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=7.308e-07  con= 0 / 2  153 17 102     
sqr=1.374e+04  alp=2.349e-13  con= 0 / 2  153 17 102     
s=1.374e+04 a=8.873e-16 c= 0 / 3 153 17 102 3.908e+04 4.52
sqr=3.181e+05  alp=0.1  con= 0 / 3  153 17 102     
sqr=5.399e+04  alp=0.08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=0.001801  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=0.001153  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=0.0002418  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=6.338e-05  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.329e-05  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=3.484e-06  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=9.134e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=6.611e-15  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.142e-06  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=9.134e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=7.308e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=5.846e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=4.677e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=3.741e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.993e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.395e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.916e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.532e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.226e-07  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=9.808e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=7.846e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=6.277e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=5.022e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=4.017e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=3.214e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.571e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.057e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.646e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.316e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.053e-08  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=8.425e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=6.74e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=5.392e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=4.314e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=3.451e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.761e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.209e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.767e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.413e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.131e-09  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=9.046e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=7.237e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=5.79e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=4.632e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=3.705e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.964e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=2.371e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=1.897e-10  con= 0 / 3  153 17 102     
sqr=2.139e+04  alp=4.587e-13  con= 0 / 3  153 17 102     
s=2.139e+04 a=8.873e-16 c= 0 / 4 153 17 102 3.465e+04 4.472
sqr=1.297e+05  alp=0.1  con= 0 / 4  153 17 102     
sqr=6.568e+04  alp=0.08  con= 0 / 4  153 17 102     
sqr=6.171e+04  alp=0.064  con= 0 / 4  153 17 102     
sqr=5.914e+04  alp=0.02621  con= 0 / 4  153 17 102     
sqr=5.792e+04  alp=0.02097  con= 0 / 4  153 17 102     
sqr=5.17e+04  alp=0.01678  con= 0 / 4  153 17 102     
sqr=4.23e+04  alp=0.01342  con= 0 / 4  153 17 102     
sqr=3.452e+04  alp=0.01074  con= 0 / 4  153 17 102     
sqr=3.014e+04  alp=0.00859  con= 0 / 4  153 17 102     
