dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=2.356e+04  alp=2.166e-15  con= 0 / 0  190 19 190     
sqr=2.26e+04  alp=0.08  con= 0 / 0  190 19 190     
sqr=2.195e+04  alp=0.064  con= 0 / 0  190 19 190     
sqr=2.149e+04  alp=0.0512  con= 0 / 0  190 19 190     
sqr=2.118e+04  alp=0.04096  con= 0 / 0  190 19 190     
sqr=2.095e+04  alp=0.03277  con= 0 / 0  190 19 190     
sqr=2.078e+04  alp=0.02621  con= 0 / 0  190 19 190     
sqr=2.065e+04  alp=0.02097  con= 0 / 0  190 19 190     
sqr=2.055e+04  alp=0.01678  con= 0 / 0  190 19 190     
sqr=2.045e+04  alp=0.01342  con= 0 / 0  190 19 190     
sqr=2.037e+04  alp=0.01074  con= 0 / 0  190 19 190     
sqr=2.03e+04  alp=0.00859  con= 0 / 0  190 19 190     
sqr=2.026e+04  alp=0.006872  con= 0 / 0  190 19 190     
sqr=2.022e+04  alp=0.005498  con= 0 / 0  190 19 190     
sqr=2.02e+04  alp=0.004398  con= 0 / 0  190 19 190     
sqr=2.018e+04  alp=0.003518  con= 0 / 0  190 19 190     
sqr=2.016e+04  alp=0.002815  con= 0 / 0  190 19 190     
sqr=2.014e+04  alp=0.002252  con= 0 / 0  190 19 190     
sqr=2.013e+04  alp=0.001801  con= 0 / 0  190 19 190     
sqr=2.012e+04  alp=0.001441  con= 0 / 0  190 19 190     
sqr=2.011e+04  alp=0.001153  con= 0 / 0  190 19 190     
sqr=2.01e+04  alp=0.0009223  con= 0 / 0  190 19 190     
sqr=2.01e+04  alp=0.0007379  con= 0 / 0  190 19 190     
sqr=2.009e+04  alp=0.0005903  con= 0 / 0  190 19 190     
sqr=2.009e+04  alp=0.0004722  con= 0 / 0  190 19 190     
sqr=2.008e+04  alp=0.0003778  con= 0 / 0  190 19 190     
sqr=2.008e+04  alp=0.0003022  con= 0 / 0  190 19 190     
sqr=2.008e+04  alp=0.0002418  con= 0 / 0  190 19 190     
sqr=2.008e+04  alp=0.0001934  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=0.0001547  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=0.0001238  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=9.904e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=7.923e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=6.338e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=5.071e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=4.056e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=3.245e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=2.596e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=2.077e-05  con= 0 / 0  190 19 190     
sqr=2.007e+04  alp=1.662e-05  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.329e-05  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.063e-05  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=8.507e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=6.806e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.445e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.356e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.484e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.788e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.23e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.784e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.427e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.142e-06  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=9.134e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=7.308e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.846e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.677e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.741e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.993e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.395e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.916e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.532e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.226e-07  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=9.808e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=7.846e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=6.277e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.022e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.017e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.214e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.571e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.057e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.646e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.316e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.053e-08  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=8.425e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=6.74e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.392e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.314e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.451e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.761e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.209e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.767e-09  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.413e-09  con= 0 / 0  190 19 190     
